NAME,ADDRESS,NEIGHBOURHOOD
PRINCE OF WALES PARK - Outdoor Tennis Court (  4),1 THIRD ST,Etobicoke York
PRINCESS ANNE PARK - Outdoor Tennis Court (  1),25A PRINCESS MARGARET Blvd,Etobicoke York
PRINCESS ANNE PARK - Outdoor Tennis Court (  2),25A PRINCESS MARGARET Blvd,Etobicoke York
QUEENSWAY PARK - Outdoor Tennis Court,8 AVON PARK DR,Etobicoke York
RAMSDEN PARK - Outdoor Tennis Court (  1),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  1),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  1),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  2),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  2),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  2),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  3),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  3),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  3),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  4),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  4),1020 YONGE ST,Toronto East York
RAMSDEN PARK - Outdoor Tennis Court (  4),1020 YONGE ST,Toronto East York
RAVINA GARDENS - Outdoor Tennis Court (  1),230 GLENDONWYNNE RD,Etobicoke York
RAVINA GARDENS - Outdoor Tennis Court (  2),230 GLENDONWYNNE RD,Etobicoke York
RAVINA GARDENS - Outdoor Tennis Court (  3),230 GLENDONWYNNE RD,Etobicoke York
RAVINA GARDENS - Outdoor Tennis Court (  4),230 GLENDONWYNNE RD,Etobicoke York
ROCKFORD PARK - Outdoor Tennis Court (  1),70 ROCKFORD RD,North York
ROCKFORD PARK - Outdoor Tennis Court (  2),70 ROCKFORD RD,North York
ROSEDALE PARK - Outdoor Tennis Court (  1),20 SCHOLFIELD AVE,Toronto East York
ROSEDALE PARK - Outdoor Tennis Court (  2),20 SCHOLFIELD AVE,Toronto East York
ROTARY PEACE PARK - Outdoor Tennis Court (  1),25 ELEVENTH ST,Etobicoke York
ROTARY PEACE PARK - Outdoor Tennis Court (  2),25 ELEVENTH ST,Etobicoke York
ROYAL CREST PARK - Outdoor Tennis Court (  1),50 CABERNET CIR,Etobicoke York
ROYAL CREST PARK - Outdoor Tennis Court (  2),50 CABERNET CIR,Etobicoke York
ROYAL CREST PARK - Outdoor Tennis Court (  3),50 CABERNET CIR,Etobicoke York
RUDDINGTON PARK - Outdoor Tennis Court (  1),75 RUDDINGTON DR,North York
