ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,Lat,Long,Num_courts,Sport
3177,Wedgewood Park - North York,WEDGEWOOD PARK - Tennis Court Area,WEDGEWOOD PARK - NORTH YORK,145 WEDGEWOOD DR,North York,24,Public,Outdoor Tennis Court,Yes,Asphalt,-79.40645841,43.7907447,2,Hockey
3100,West Deane Park,WEST DEANE PARK - Tennis Court Area,WEST DEANE PARK,19 SEDGEBROOK CRES,Etobicoke York,3,Club,Outdoor Tennis Court,Yes,Asphalt,-79.55918125,43.6632802,4,Hockey
3359,Dennis Flynn Park,,DENNIS FLYNN PARK,370 THE WEST MALL,Etobicoke York,3,Public,Outdoor Tennis Court,Yes,Asphalt,-79.56621687,43.64120715,3,Hockey
2973,West Rouge Park,WEST ROUGE PARK - Tennis Court Area,WEST ROUGE PARK,270 ROUGE HILLS DR,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,-79.1260191,43.79254947,3,Hockey
2962,Westgrove Park,WESTGROVE PARK - Tennis Court Area,WESTGROVE PARK,15 REDGRAVE DR,Etobicoke York,4,Public,Outdoor Tennis Court,Yes,Asphalt,-79.56768523,43.68273695,3,Hockey
2950,Westmount Park,WESTMOUNT PARK - Tennis Court Area,WESTMOUNT PARK,22 ARCADE DR,Etobicoke York,2,Public,Outdoor Tennis Court,Yes,Asphalt,-79.51895738,43.687485,3,Hockey
2957,Weston Lions Park,WESTON LIONS PARK - Tennis Court Area,WESTON LIONS PARK,2125 LAWRENCE AVE W,Etobicoke York,11,Club,Outdoor Tennis Court,Yes,Coated,-79.51842254,43.69772494,4,Hockey
3989,Westway Park,WESTWAY PARK - Tennis Court Area,WESTWAY PARK,175 THE WESTWAY,Etobicoke York,4,Public,Outdoor Tennis Court,Yes,Asphalt,-79.54205012,43.68821725,4,Hockey
3804,Willowdale Park,WILLOWDALE PARK - Tennis Court Area,WILLOWDALE PARK,75 HOLLYWOOD AVE,North York,23,Club,Outdoor Tennis Court,Yes,Clay,-79.40853245,43.76610166,4,Hockey
3700,Wishing Well Park,WISHING WELL PARK - Tennis Court Area,WISHING WELL PARK,1700 PHARMACY AVE,Scarborough,40,Club,Outdoor Tennis Court,Yes,Coated,-79.317182,43.76992939,3,Hockey
3682,Withrow Park,WITHROW PARK - Tennis Court Area,WITHROW PARK,725 LOGAN AVE,Toronto East York,30,Public,Outdoor Tennis Court,No,Asphalt,-79.34849634,43.67597123,2,Hockey
29524,Hillcrest Park,,HILLCREST PARK,950 DAVENPORT RD,Toronto East York,21,Club,Clubhouse,,,-79.42408744,43.67658129,1,Hockey
3886,York Mills Valley Park,YORK MILLS VALLEY PARK - Tennis Court Area (  1),YORK MILLS VALLEY PARK,3865 YONGE ST,North York,25,Public,Outdoor Tennis Court,Yes,Coated,-79.40548109,43.74010831,4,Hockey
29757,York Mills Valley Park,,YORK MILLS VALLEY PARK,1 MILL ST,North York,25,Club,Clubhouse,,,-79.40499951,43.73994187,1,Hockey
