ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,Lat,Long,Num_courts,Sport
3055,June Rowlands Park,JUNE ROWLANDS PARK - Tennis Court Area,JUNE ROWLANDS PARK,220 DAVISVILLE AVE,Toronto East York,22,Club,Outdoor Tennis Court,Yes,Coated,-79.38784785,43.70128115,6,Basketball
31482,Beaches Park,,BEACHES PARK,2075 QUEEN ST E,Waterfront,32,Club,Clubhouse,,,-79.30049027,43.66623551,1,Basketball
3036,Kingsview Park,KINGSVIEW PARK - Tennis Court Area,KINGSVIEW PARK,46 KINGSVIEW BLVD,Etobicoke York,2,Public,Outdoor Tennis Court,No,Asphalt,-79.55510716,43.69890333,2,Basketball
3037,Kingsview Park,KINGSVIEW PARK - Tennis Court Area,KINGSVIEW PARK,46 KINGSVIEW BLVD,Etobicoke York,2,Public,Outdoor Tennis Court,No,Asphalt,-79.55494425,43.69894107,6,Basketball
3009,Laburnham Park,LABURNHAM PARK - Tennis Court Area,LABURNHAM PARK,60 LABURNHAM AVE,Etobicoke York,6,Public,Outdoor Tennis Court,No,Asphalt,-79.52659864,43.60090678,2,Basketball
3004,Lakeshore Boulevard Parklands,LAKESHORE BOULEVARD PARKLANDS - Tennis Court Area,LAKESHORE BOULEVARD PARKLANDS,1389 LAKE SHORE BLVD W,Waterfront,14,Public,Outdoor Tennis Court,No,Asphalt,-79.43823951,43.6336196,4,Basketball
3000,Lambton - Kingsway Park,LAMBTON - KINGSWAY PARK - Tennis Court Area,LAMBTON - KINGSWAY PARK,37 MARQUIS AVE,Etobicoke York,5,Public,Outdoor Tennis Court,No,Asphalt,-79.50740475,43.65812054,2,Basketball
3026,L'Amoreaux Sports Complex,L'AMOREAUX SPORTS COMPLEX - Tennis Court Area,L'AMOREAUX SPORTS COMPLEX,300 SILVER SPRINGS BLVD,Scarborough,39,Club,Outdoor Tennis Court,Yes,Coated,-79.30543122,43.80589994,5,Basketball
2996,Lanyard Park,LANYARD PARK - Tennis Court Area,LANYARD PARK,138 LANYARD RD,Etobicoke York,7,Public,Outdoor Tennis Court,No,Asphalt,-79.54852371,43.74722517,3,Basketball
2989,Lawrence Park And Ravine,LAWRENCE PARK AND RAVINE - Tennis Court Area,LAWRENCE PARK AND RAVINE,51 ALEXANDER MUIR RD,North York,25,Club,Outdoor Tennis Court,Yes,Clay,-79.39916151,43.72059609,3,Basketball
29553,Lawrence Park And Ravine,,LAWRENCE PARK AND RAVINE,51 ALEXANDER MUIR RD,North York,25,Club,Clubhouse,,,-79.3990207,43.72079089,1,Basketball
2979,Leaside Park,LEASIDE PARK - Tennis Court Area,LEASIDE PARK,5 LEASIDE PARK DR,North York,26,Club,Outdoor Tennis Court,Yes,Coated,-79.34929962,43.70293604,6,Basketball
2968,Lillian Park,LILLIAN PARK - Tennis Court Area,LILLIAN PARK,227 OTONABEE AVE,North York,24,Club,Outdoor Tennis Court,Yes,Asphalt,-79.40793756,43.79762628,3,Basketball
2993,Lora Hill Park,LORA HILL PARK - Tennis Court Area,LORA HILL PARK,36 FERNALROY BLVD,Etobicoke York,5,Club,Outdoor Tennis Court,Yes,Asphalt,-79.51464923,43.63832196,2,Basketball
2941,Lytton Park,LYTTON PARK - Tennis Court Area,LYTTON PARK,200 LYTTON BLVD,North York,16,Club,Outdoor Tennis Court,Yes,Coated,-79.41093783,43.71532333,3,Basketball
29566,Lytton Park,,LYTTON PARK,200 LYTTON BLVD,North York,16,Club,Clubhouse,,,-79.41074681,43.71529366,1,Basketball
2860,Major Abbas Ali Park,MAJOR ABBAS ALI PARK - Tennis Court Area,MAJOR ABBAS ALI PARK,180 MCLEVIN AVE,Scarborough,42,Club,Outdoor Tennis Court,Yes,Coated,-79.23197752,43.80349764,3,Basketball
2932,Malvern Park,MALVERN PARK - Tennis Court Area,MALVERN PARK,36 SEWELLS RD,Scarborough,42,Public,Outdoor Tennis Court,Yes,Asphalt,-79.2176839,43.80884495,3,Basketball
2927,Manchester Park,MANCHESTER PARK - Tennis Court Area,MANCHESTER PARK,75 MANCHESTER ST,Etobicoke York,6,Public,Outdoor Tennis Court,Yes,Asphalt,-79.49021165,43.62075451,3,Basketball
2923,Maple Leaf Park,MAPLE LEAF PARK - Tennis Court Area,MAPLE LEAF PARK,320 CULFORD RD,Etobicoke York,12,Public,Outdoor Tennis Court,Yes,Asphalt,-79.4940859,43.71612334,3,Basketball
60963,Marilyn Bell Park,MARILYN BELL PARK - Tennis Court Area,MARILYN BELL PARK,1095 LAKE SHORE BLVD W,Waterfront,14,Public,Outdoor Tennis Court,No,Asphalt,-79.4331,44.6308,4,Basketball
2912,Martin Grove Gardens Park,MARTIN GROVE GARDENS PARK - Tennis Court Area,MARTIN GROVE GARDENS PARK,31 LAVINGTON DR,Etobicoke York,4,Public,Outdoor Tennis Court,Yes,Asphalt,-79.56345715,43.68950431,3,Basketball
3575,Maryland Park,MARYLAND PARK - Tennis Court Area,MARYLAND PARK,19 MARYLAND BLVD,Toronto East York,31,Club,Outdoor Tennis Court,Yes,Coated,-79.29532472,43.69191706,4,Basketball
29571,Maryland Park,,MARYLAND PARK,19 MARYLAND BLVD,Toronto East York,31,Club,Clubhouse,,,-79.29511541,43.69166907,1,Basketball
2908,Maryvale Park,MARYVALE PARK - Tennis Court Area,MARYVALE PARK,5 TRESTLESIDE GRV,Scarborough,37,Club,Outdoor Tennis Court,Yes,Asphalt,-79.3058628,43.75386682,3,Basketball
2897,Mcdairmid Woods Park,MCDAIRMID WOODS PARK - Tennis Court Area,MCDAIRMID WOODS PARK,51 RUBIC CRES,Scarborough,41,Public,Outdoor Tennis Court,Yes,Asphalt,-79.26657777,43.7804893,3,Basketball
2888,Mcgregor Park,MCGREGOR PARK - Tennis Court Area,MCGREGOR PARK,2231 LAWRENCE AVE E,Scarborough,37,Public,Outdoor Tennis Court,No,Asphalt,-79.28106877,43.74695746,3,Basketball
2883,Mcnicoll Park,MCNICOLL PARK - Tennis Court Area,MCNICOLL PARK,215 MCNICOLL AVE,North York,24,Public,Outdoor Tennis Court,Yes,Asphalt,-79.35406526,43.79802626,3,Basketball
2872,Mill Valley Park,MILL VALLEY PARK - Tennis Court Area,MILL VALLEY PARK,412 MILL RD,Etobicoke York,3,Public,Outdoor Tennis Court,No,Asphalt,-79.58780012,43.64341557,2,Basketball
2868,Millwood Park,MILLWOOD PARK - Tennis Court Area,MILLWOOD PARK,4370 BLOOR ST W,Etobicoke York,3,Public,Outdoor Tennis Court,Yes,Asphalt,-79.57917903,43.63202211,3,Basketball
2864,Mimico Memorial Park,MIMICO MEMORIAL PARK - Tennis Court Area,MIMICO MEMORIAL PARK,75 HILLSIDE AVE,Etobicoke York,6,Club,Outdoor Tennis Court,Yes,Clay,-79.493644,43.60917779,3,Basketball
29573,Mimico Memorial Park,,MIMICO MEMORIAL PARK,29 GEORGE ST,Etobicoke York,6,Club,Clubhouse,,,-79.4935712,43.60893539,1,Basketball
2856,Moore Park,MOORE PARK - Tennis Court Area,MOORE PARK,110 CACTUS AVE,North York,23,Public,Outdoor Tennis Court,No,Asphalt,-79.43456388,43.79164456,3,Basketball
3995,Moorevale Park,MOOREVALE PARK - Tennis Court Area,MOOREVALE PARK,175 MOORE AVE,Toronto East York,27,Club,Outdoor Tennis Court,Yes,Coated,-79.38236127,43.69325809,5,Basketball
30923,Moorevale Park,,MOOREVALE PARK,175 MOORE AVE,Toronto East York,27,Club,Clubhouse,,,-79.38223315,43.69358275,1,Basketball
